"ProbeID","Symbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","SE","Direction"
"202151_s_at","UBAC1","10422",1.47786336382134,6.26098211067607,5.34780093491112,0.000984911421613213,0.0109743959840611,0.276349733621098,"Upregulated"
"202157_s_at","CELF2","10659",-2.2622081812254,6.87028332625317,-5.57496434465557,0.000769645368844488,0.00964025168856758,0.405779847434193,"Downregulated"
"202166_s_at","PPP1R2","5504",1.77522285646551,6.35240889442247,4.90571743482039,0.00162367705160906,0.0144391818662257,0.361868142642119,"Upregulated"
"202169_s_at","AASDHPPT","60496",1.46356569494489,7.27249030107977,4.57200649430048,0.00241161069458171,0.0180381658681946,0.320114526689626,"Upregulated"
"202170_s_at","AASDHPPT","60496",1.22654827527502,7.37626397058312,7.47095970415762,0.000124480699583792,0.00351559369939879,0.164175463908933,"Upregulated"
"202177_at","GAS6","2621",-1.54638372731669,7.31197612828993,-8.65491350395305,4.76191530536253e-05,0.00214970611341984,0.178671193722548,"Downregulated"
"202193_at","LIMK2","3985",1.31974889066262,7.00842943098709,9.98442953541616,1.83283500608549e-05,0.00129609824674668,0.132180700557932,"Upregulated"
"202194_at","TMED5","50999",1.27385788076544,9.58046769691085,7.04083781913517,0.000181980087467007,0.00431959720458562,0.18092419020126,"Upregulated"
"202195_s_at","TMED5","50999",1.7828616810814,6.88658625130255,6.83010771814109,0.000220653526400997,0.00475516365105838,0.261029804309826,"Upregulated"
"202196_s_at","DKK3","27122",-1.3759219321636,8.80609302606455,-4.68657805924946,0.00210151603373224,0.0166529451563497,0.29358775523819,"Downregulated"
"202202_s_at","LAMA4","3910",1.01294894305979,4.34542689498406,6.9845154182177,0.000191513641587451,0.00444439049634859,0.1450278054248,"Upregulated"
"202208_s_at","ARL4C","10123",-1.02170513274273,8.214331042141,-6.68814427417266,0.000251889833260472,0.00507439505139468,0.15276362034955,"Downregulated"
"202230_s_at","CHERP","10523",1.04513975684281,7.02727552679364,6.10545029715683,0.000443846274656187,0.0069945025022375,0.171181437236415,"Upregulated"
"202234_s_at","SLC16A1","6566",1.00604487660036,5.24412106020577,7.44732816726339,0.000127047262137894,0.00355652530429485,0.1350880280827,"Upregulated"
"202236_s_at","SLC16A1","6566",1.26264683054847,7.71024164344367,7.82384123529666,9.23332653714634e-05,0.0030302603537288,0.161384515939834,"Upregulated"
"202237_at","NNMT","4837",1.26192318816012,12.495255558005,13.6946472891852,2.10432082873032e-06,0.000347337637234057,0.0921471843350556,"Upregulated"
"202238_s_at","NNMT","4837",1.52208875473388,12.5222466283037,16.7176461150357,5.23172592314899e-07,0.000161938067211703,0.0910468342409117,"Upregulated"
"202241_at","TRIB1","10221",-1.52765192500176,8.02033351456317,-6.21772117483241,0.00039676337666706,0.00658798682732646,0.245693218149644,"Downregulated"
"202256_at","CD2BP2","10421",-1.01307665295749,7.00666063973996,-7.04055422579432,0.000182026736754741,0.00431959720458562,0.143891605755396,"Downregulated"
"202267_at","LAMC2","3918",-1.62230780180706,9.38891260870358,-8.13992452625691,7.13060802366563e-05,0.00265704579584183,0.199302560677804,"Downregulated"
"202270_at","GBP1","2633",1.04619438082695,5.34115694249757,4.68317767040009,0.00211005999271784,0.0166850485513597,0.223394125625299,"Upregulated"
"202279_at","ATP5MJ","9556",1.15031927614294,8.77779119960476,5.89999666676581,0.00054706002920744,0.00792596790040923,0.194969478986758,"Upregulated"
