"ProbeID","Symbol","EntrezID","GeneName","IQR"
"218534_s_at","AGGF1","55109","angiogenic factor with G-patch and FHA domains 1",0.46694955155457
"218568_at","AGK","55750","acylglycerol kinase",0.755793209750947
"203566_s_at","AGL","178","amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase",1.72538939107595
"221648_s_at","AGMAT","79814","agmatinase (putative)",0.712660171047317
"218287_s_at","AGO1","26523","argonaute RISC component 1",0.0208791856638246
"213310_at","AGO2","27161","argonaute RISC catalytic component 2",0.175317293090931
"219426_at","AGO3","192669","argonaute RISC catalytic component 3",0.886016187033573
"219190_s_at","AGO4","192670","argonaute RISC component 4",0.117231676501317
"215535_s_at","AGPAT1","10554","1-acylglycerol-3-phosphate O-acyltransferase 1",0.16446938926323
"32837_at","AGPAT2","10555","1-acylglycerol-3-phosphate O-acyltransferase 2",0.55852822173309
"219723_x_at","AGPAT3","56894","1-acylglycerol-3-phosphate O-acyltransferase 3",0.259050732256392
"219693_at","AGPAT4","56895","1-acylglycerol-3-phosphate O-acyltransferase 4",0.415149924115084
"218096_at","AGPAT5","55326","1-acylglycerol-3-phosphate O-acyltransferase 5",0.942238700512653
"205401_at","AGPS","8540","alkylglycerone phosphate synthase",0.853164022380389
"209173_at","AGR2","10551","anterior gradient 2, protein disulphide isomerase family member",0.406044933124566
"212283_at","AGRN","375790","agrin",0.652442188669407
"207193_at","AGRP","181","agouti related neuropeptide",0.168936709018046
"202834_at","AGT","183","angiotensinogen",0.913880242931938
"204500_s_at","AGTPBP1","23287","ATP/GTP binding carboxypeptidase 1",0.377215048696133
"208016_s_at","AGTR1","185","angiotensin II receptor type 1",0.227132980306682
"222321_at","AGTR2","186","angiotensin II receptor type 2",0.461940897579407
"210326_at","AGXT","189","alanine--glyoxylate aminotransferase",0.775505927881672
"214766_s_at","AHCTF1","25909","AT-hook containing transcription factor 1",0.232520557355051
"200903_s_at","AHCY","191","adenosylhomocysteinase",0.215617195040878
"200848_at","AHCYL1","10768","adenosylhomocysteinase like 1",1.59677711611839
"215672_s_at","AHCYL2","23382","adenosylhomocysteinase like 2",0.258439765349606
